mkn_segment_sentence,eng_segment_sentence,start,wav_files,audio_segment_path
tunggu sampe tiga pulu menit kemudian.,wait until thirty minutes later.,0:12:09,audio/audio_1.wav,
baru ada oto halte.,then the car to halte comes,0:12:11,audio/audio_1.wav,
aiii.,ow.,0:12:12,audio/audio_1.wav,
jadi tunggu sampe baakar.,so waiting for very long time,0:12:13,audio/audio_1.wav,
xx mati mampos do.,xx.go to hell.,0:12:15,audio/audio_1.wav,
xx tunggu bemo.,waiting for bemo.,0:12:16,audio/audio_1.wav,
ko abis.,because,0:12:18,audio/audio_1.wav,
mau karmana lai?,what should I do?,0:12:20,audio/audio_1.wav,
jadi kalo beta ee.,if I am,0:12:21,audio/audio_1.wav,
untung sakarang.,fortunately now,0:12:21,audio/audio_1.wav,
be kulia pagi cuma hari Senin sa.,I have morning class only on Monday.,0:12:23,audio/audio_1.wav,
selanjutnya...,next...,0:12:24,audio/audio_1.wav,
jam sembilan.,at nine o’clock,0:12:25,audio/audio_1.wav,
mau pigi.,(I) want to go,0:12:26,audio/audio_1.wav,
mau siap lama lama ju son masalah.,it is okay to get ready for a very long time,0:12:28,audio/audio_1.wav,
kan oto ju son talalu susa lai to.,because it’s not so difficult to catch car anymore.,0:12:30,audio/audio_1.wav,
kalo su jam sambilan.,if it is already nine o’clock,0:12:34,audio/audio_1.wav,
o ho betul.,right,0:12:35,audio/audio_1.wav,
oto son talalu susah lae.,it’s not too difficult to catch car anymore,0:12:37,audio/audio_1.wav,
jam sembilan memang oto son talalu susah.,not too difficult to catch car at nine o’clock.,0:12:38,audio/audio_1.wav,
pokoknya ka liat sa di halte kalo pagi-pagi.,just find it out yourself at the bus stop early in the morning.,0:12:39,audio/audio_1.wav,
manusia bagitu banyak tu...,there are so many people...,0:12:40,audio/audio_1.wav,
itu...,they are...,0:12:41,audio/audio_1.wav,
ana Undana pung model tu.,Undana students,0:12:42,audio/audio_1.wav,
dong pung tampang samua.,that’s they are,0:12:43,audio/audio_1.wav,
0.,0.,0:12:45,audio/audio_1.wav,
ko ais.,and.,0:12:48,audio/audio_1.wav,
tiap hari.,everyday,0:12:49,audio/audio_1.wav,
mulai su barampas oto.,(they) begin to crowd to get into car.,0:12:50,audio/audio_1.wav,
laki-laki perempuan son mau tau.,no matter man or women,0:12:51,audio/audio_1.wav,
jadi konjak mendadak su.,become sudden co-driver.,0:12:52,audio/audio_1.wav,
di Oesapa situ.,"in Oesapa, over there...",0:12:53,audio/audio_1.wav,
oto.,the car,0:12:55,audio/audio_1.wav,
dong biasa batareak kampus.,"they usually shout, ""campus""",0:12:56,audio/audio_1.wav,
talalu fol!,too full,0:12:57,audio/audio_1.wav,
di Oesapa.,in Oesapa,0:12:58,audio/audio_1.wav,
ho ko abis kan.,"yes, (you’re) right.",0:13:00,audio/audio_1.wav,
biasa kalo dari halte su panuh.,"from the bus stop, (the car) is usually already full",0:13:01,audio/audio_1.wav,
oto dong su ponuh samua.,the cars are already full.,0:13:02,audio/audio_1.wav,
bis-bis dong ju su ponuh.,the busses are also full,0:13:03,audio/audio_1.wav,
son dapa tempat lae.,can’t find a seat anymore,0:13:04,audio/audio_1.wav,
